Caedocyon, Caedocyon tedfordi, 20.43, 30.8
Philotrox, Philotrox condoni, 20.43, 30.8
Cynarctoides, Cynarctoides luskensis, 20.43, 30.8
Cormocyon, Cormocyon haydeni, 20.43, 30.8
Cynarctoides, Cynarctoides lemur, 20.43, 30.8
Dusicyon, Dusicyon, 0, 2.588
Tomarctus, Tomarctus, 10.3, 5.333
Canis, Canis mesomelas, 0, 5.333
Protemnocyon, Protemnocyon inflatus, 33.3, 33.9
Carpocyon, Carpocyon robustus, 10.3, 5.333
Desmocyon, Desmocyon thomsoni, 15.97, 5.333
Protomarctus, Protomarctus optatus, 13.6, 5.333
Enhydrocyon, Enhydrocyon pahinsintewakpa, 20.43, 30.8
Canis, Canis anthus, 0, 2.588
Vulpini, Vulpini, 0.0117, 0.126
Leptocyon, Leptocyon delicatus, 20.43, 30.8
Borophagus, Borophagus hilli, 1.8, 5.333
Metatomarctus, Metatomarctus canavus, 15.97, 5.333
Canis, Canis familiaris, 0, 2.588
Otocyon, Otocyon, 0.0117, 3.6
Euoplocyon, Euoplocyon brachygnathus, 13.6, 20.43
Canini, Canini, 1.8, 4.9
Phlaocyon, Phlaocyon taylori, 20.43, 30.8
Aelurodon, Aelurodon montanensis, 13.6, 15.97
Canis, Canis lupus, 0, 3.6
Borophagus, Borophagus parvus, 10.3, 4.9
Protocyon, Protocyon orcesi, 0.0117, 0.781
Canis, Canis, 0, 8.7
Dusicyon, Dusicyon culpaeus, 0.0117, 2.588
Cynarctoides, Cynarctoides harlowi, 20.43, 24.8
Paraenhydrocyon, Paraenhydrocyon wallovianus, 20.43, 30.8
Cormocyon, Cormocyon copei, 20.43, 5.333
Nyctereutes, Nyctereutes procyonoides, 0, 2.588
Phlaocyon, Phlaocyon, 15.97, 30.8
Cynodesmus, Cynodesmus martini, 20.43, 30.8
Eucyon, Eucyon skinneri, 10.3, 13.6
Aelurodon, Aelurodon taxoides, 10.3, 5.333
Alopex, Alopex lagopus, 0, 1.8
Lycaon, Lycaon, 0.0117, 5.333
Cynotherium, Cynotherium sardous, 0.0117, 3.6
Eucyon, Eucyon davisi, 1.8, 5.333
Enhydrocyon, Enhydrocyon, 20.43, 33.3
Psalidocyon, Psalidocyon marianae, 13.6, 20.43
Phlaocyon, Phlaocyon achoros, 20.43, 24.8
Speothos, Speothos venaticus, 0, 0.0117
Canis, Canis (Pseudalopex), 0.0117, 2.588
Tomarctus, Tomarctus brevirostris, 13.6, 5.333
