Aelurodon, Aelurodon, 10.3, 5.333
Aelurodon, Aelurodon asthenostylus, 13.6, 20.43
Aelurodon, Aelurodon ferox, 10.3, 5.333
Aelurodon, Aelurodon mcgrewi, 13.6, 5.333
Aelurodon, Aelurodon montanensis, 13.6, 15.97
Aelurodon, Aelurodon stirtoni, 10.3, 5.333
Aelurodon, Aelurodon taxoides, 10.3, 5.333
Aelurodon, Aelurodon wheelerianus, 15.97, 20.43
Alopex, Alopex, 0.0117, 5.333
Alopex, Alopex lagopus, 0, 1.8
Archaeocyon, Archaeocyon falkenbachi, 20.43, 30.8
Archaeocyon, Archaeocyon leptodus, 20.43, 33.3
Archaeocyon, Archaeocyon pavidus, 20.43, 33.3
Borophaginae, Borophaginae, 10.3, 5.333
Borophagus, Borophagus, 1.8, 5.333
Borophagus, Borophagus diversidens, 1.8, 4.9
Borophagus, Borophagus dudleyi, 3.6, 5.333
Borophagus, Borophagus hilli, 1.8, 5.333
Borophagus, Borophagus littoralis, 10.3, 5.333
Borophagus, Borophagus orc, 10.3, 5.333
Borophagus, Borophagus parvus, 10.3, 4.9
Borophagus, Borophagus pugnator, 10.3, 5.333
Borophagus, Borophagus secundus, 10.3, 5.333
Caedocyon, Caedocyon tedfordi, 20.43, 30.8
Canidae, Canidae, 0, 8.7
Caninae, Caninae, 0.0117, 5.333
Canini, Canini, 1.8, 4.9
Canis, Canis, 0, 8.7
Canis, Canis adustus, 0, 3.6
Canis, Canis anthus, 0, 2.588
Canis, Canis apolloniensis, 0.781, 2.588
Canis, Canis armbrusteri, 0.0117, 4.9
Canis, Canis aureus, 0, 3.6
Canis, Canis cedazoensis, 0.3, 1.8
Canis, Canis dirus, 0.0117, 2.588
Canis, Canis edwardii, 0.3, 5.333
Canis, Canis familiaris, 0, 2.588
Canis, Canis ferox, 1.8, 4.9
Canis, Canis latrans, 0, 4.9
Canis, Canis lepophagus, 0.0117, 4.9
Canis, Canis lupus, 0, 3.6
Canis, Canis mesomelas, 0, 5.333
Canis, Canis proplatensis, 0.781, 2.588
Canis, Canis (Pseudalopex), 0.0117, 2.588
Canis, Canis rufus, 0.0117, 4.9
Canis, Canis thooides, 1.8, 4.9
Carpocyon, Carpocyon, 13.6, 5.333
Carpocyon, Carpocyon compressus, 10.3, 5.333
Carpocyon, Carpocyon limosus, 10.3, 4.9
Carpocyon, Carpocyon robustus, 10.3, 5.333
Carpocyon, Carpocyon webbi, 10.3, 4.9
Cerdocyon, Cerdocyon avius, 1.8, 5.333
Cerdocyon, Cerdocyon texanus, 1.8, 4.9
Cerdocyon, Cerdocyon thous, 0, 0.126
Chailicyon, Chailicyon crassidens, 37.2, 48.6
Chrysocyon, Chrysocyon, 0, 2.588
Chrysocyon, Chrysocyon brachyurus, 0, 2.588
Chrysocyon, Chrysocyon nearcticus, 1.8, 4.9
